Open,High,Low,Close,Volume
0.122166999,0.125166997,0.119083002,0.119667001,625920000
0.121082999,0.121417001,0.117582999,0.120750003,578664000
0.121250004,0.121417001,0.115332998,0.117082998,476316000
0.116167001,0.1175,0.112916999,0.115000002,406020000
0.114749998,0.117666997,0.113167003,0.116667002,474840000
0.116582997,0.122832999,0.115083002,0.119499996,537228000
0.120833002,0.123750001,0.118583001,0.120999999,619680000
0.121583,0.126666993,0.120999999,0.126000002,590412000
0.127083004,0.131249994,0.126833007,0.129583001,673932000
0.126416996,0.129749998,0.125499994,0.126666993,633180000
0.126416996,0.127749994,0.123499997,0.127167001,498504000
0.129500002,0.132416993,0.127250001,0.127917007,798072000
0.126582995,0.127083004,0.119833,0.120917,693420000
0.121082999,0.123499997,0.118917003,0.121082999,373848000
0.116999999,0.120250002,0.115083002,0.119332999,827232000
0.122916996,0.124499999,0.117582999,0.118583001,672816000
0.119667001,0.119667001,0.114166997,0.115000002,513264000
0.115249999,0.115417004,0.108999997,0.111832999,1280484000
0.111166999,0.115000002,0.110250004,0.113833003,573972000
0.116416998,0.117582999,0.11225,0.113082998,618480000
0.112750001,0.114917003,0.112083003,0.114417002,540204000
0.115583003,0.118500002,0.114666998,0.116999999,1013964000
0.118083,0.118332997,0.110333003,0.110666998,686460000
0.109750003,0.113582999,0.109499998,0.111166999,529164000
0.122083001,0.126582995,0.118083,0.120750003,2455776000
0.118583001,0.126332998,0.118583001,0.124082997,1074036000
0.122417003,0.125,0.121583,0.122749999,561552000
0.121583,0.12325,0.119499996,0.120582998,742860000
0.122249998,0.12325,0.120667003,0.123167001,653892000
0.122832999,0.127499998,0.121832997,0.124917001,1095756000
0.129999995,0.130417004,0.125416994,0.126083001,910356000
0.127000004,0.129999995,0.124333002,0.128417,995544000
0.148332998,0.156416997,0.145333007,0.147,3849012000
0.145417005,0.150582999,0.144749999,0.148582995,718620000
0.146332994,0.149832994,0.146249995,0.147667006,615936000
0.147499993,0.149083003,0.146833003,0.147667006,645912000
0.148582995,0.150582999,0.147582993,0.150582999,507000000
0.152916998,0.153332993,0.149333,0.150832996,647076000
0.149333,0.154166996,0.148416996,0.153082997,536472000
0.153583005,0.155249998,0.149749994,0.152583003,472728000
0.155000001,0.159250006,0.153500006,0.155166999,602772000
0.156499997,0.158500001,0.153249994,0.157167003,532524000
0.169166997,0.171083003,0.156749994,0.158000007,2126052000
0.158583,0.162499994,0.157083005,0.162499994,733788000
0.161166996,0.164917007,0.159832999,0.163167,676896000
0.163000003,0.166500002,0.162582994,0.163833007,428580000
0.164582998,0.166999996,0.163167,0.1655,350760000
0.166749999,0.167916998,0.160833001,0.162249997,704388000
0.162917003,0.163083002,0.158500001,0.159417003,576540000
0.160833001,0.163416997,0.159667,0.163416997,514572000
0.161833003,0.166832998,0.160583004,0.165583,758652000
0.169582993,0.174999997,0.169,0.172749996,1347312000
0.173583001,0.182417005,0.170499995,0.180999994,970500000
0.191582993,0.208000004,0.187832996,0.190082997,2927052000
0.192750007,0.195832998,0.190833002,0.192332998,872724000
0.188916996,0.192582995,0.185249999,0.190583006,869964000
0.194999993,0.196333006,0.193083003,0.194250003,652848000
0.191332996,0.193832994,0.187999994,0.188916996,738024000
0.189082995,0.192917004,0.188749999,0.192750007,512988000
0.194666997,0.195083007,0.191667005,0.194499999,432768000
0.200167,0.207167,0.19675,0.197082996,1524036000
0.200749993,0.201582998,0.189916998,0.192166999,1214244000
0.194417,0.197417006,0.189082995,0.190082997,898728000
0.190082997,0.192833006,0.185416996,0.191499993,899400000
0.195333004,0.196250007,0.191332996,0.191750005,421824000
0.190667003,0.194417,0.189750001,0.192249998,366972000
0.194916993,0.195749998,0.189583004,0.190583006,308208000
0.191,0.192499995,0.188832998,0.189583004,291612000
0.188999996,0.193582997,0.188500002,0.191249996,294732000
0.191332996,0.192917004,0.189667001,0.190500006,259812000
0.19325,0.197332993,0.192499995,0.196333006,575964000
0.203167006,0.206,0.195666999,0.196500003,1066716000
0.197916999,0.198249996,0.184249997,0.187250003,790224000
0.185249999,0.191249996,0.184249997,0.188999996,724812000
0.192332998,0.194582999,0.185833007,0.187167004,563568000
0.187582999,0.188999996,0.180832997,0.183583006,763092000
0.184166998,0.185833007,0.182916999,0.184,579552000
0.182249993,0.183249995,0.175583005,0.178332999,1093380000
0.179916993,0.180583,0.172499999,0.176833004,1057800000
0.177249998,0.183332995,0.173333004,0.178666994,898764000
0.181999996,0.182417005,0.177499995,0.179250002,573912000
0.177249998,0.182500005,0.176833004,0.182082996,464556000
0.182916999,0.183332995,0.177166998,0.177917004,336492000
0.174333006,0.182667002,0.174333006,0.178332999,640080000
0.178582996,0.182166994,0.178000003,0.178666994,596352000
0.177667007,0.180250004,0.170499995,0.171499997,463704000
0.172250003,0.176917002,0.171250001,0.174500003,439704000
0.175082996,0.179167002,0.172167003,0.176750004,429120000
0.177083001,0.191750005,0.175999999,0.190917,1002912000
0.191667005,0.192416996,0.186499998,0.190667003,671052000
0.192249998,0.194582999,0.188333005,0.191,562968000
0.190833002,0.195417002,0.189667001,0.194582999,507180000
0.202250004,0.207000002,0.196500003,0.205417007,2035404000
0.203250006,0.204667002,0.200416997,0.203250006,690120000
0.203333005,0.215499997,0.203250006,0.214917004,806448000
0.215167001,0.219166994,0.210417002,0.212332994,521628000
0.210999995,0.217832997,0.210333005,0.214416996,455772000
0.215000004,0.215666994,0.205833003,0.206917003,783756000
0.208000004,0.212833002,0.207249999,0.211750001,602376000
0.210417002,0.219500005,0.209666997,0.217916995,556512000
0.217832997,0.218667001,0.212500006,0.213332996,432900000
0.214750007,0.222083002,0.214416996,0.21525,748500000
0.214582995,0.217666999,0.210666999,0.214499995,466464000
0.217417002,0.217500001,0.210916996,0.212583005,1017408000
0.228917003,0.235833004,0.222582996,0.235583007,3132120000
0.233999997,0.244083002,0.231916994,0.238582999,1420800000
0.234750003,0.237666994,0.226999998,0.230832994,1107840000
0.227667004,0.23725,0.227667004,0.236917004,695496000
0.23725,0.241583005,0.234667003,0.240333006,525132000
0.239167005,0.241667002,0.237083003,0.241583005,758064000
